step 0 | val_loss: 10.9852 | perplexity: 58859.0898 | train_loss: 10.984943 | grad_norm: 5.7629 | lr: 8.3916e-07 | tok/s: 40566
step 1 | train_loss: 10.966583 | grad_norm: 5.4919 | lr: 1.6783e-06 | tok/s: 361987
step 2 | train_loss: 10.930642 | grad_norm: 5.6560 | lr: 2.5175e-06 | tok/s: 368001
step 3 | train_loss: 10.867613 | grad_norm: 5.6774 | lr: 3.3566e-06 | tok/s: 380835
step 4 | train_loss: 10.797319 | grad_norm: 5.3624 | lr: 4.1958e-06 | tok/s: 378536
step 5 | train_loss: 10.710011 | grad_norm: 5.0675 | lr: 5.0350e-06 | tok/s: 370850
step 6 | train_loss: 10.616348 | grad_norm: 4.6239 | lr: 5.8741e-06 | tok/s: 380360
step 7 | train_loss: 10.522975 | grad_norm: 4.0251 | lr: 6.7133e-06 | tok/s: 380246
step 8 | train_loss: 10.423101 | grad_norm: 3.7995 | lr: 7.5524e-06 | tok/s: 379876
step 9 | train_loss: 10.353310 | grad_norm: 3.3717 | lr: 8.3916e-06 | tok/s: 368924
step 10 | train_loss: 10.263552 | grad_norm: 3.2522 | lr: 9.2308e-06 | tok/s: 372511
step 11 | train_loss: 10.199790 | grad_norm: 3.0247 | lr: 1.0070e-05 | tok/s: 378996
step 12 | train_loss: 10.129982 | grad_norm: 2.8617 | lr: 1.0909e-05 | tok/s: 379911
step 13 | train_loss: 10.068004 | grad_norm: 2.7186 | lr: 1.1748e-05 | tok/s: 380026
step 14 | train_loss: 9.987894 | grad_norm: 2.6661 | lr: 1.2587e-05 | tok/s: 367444
step 15 | train_loss: 9.936500 | grad_norm: 2.5378 | lr: 1.3427e-05 | tok/s: 376391
step 16 | train_loss: 9.887732 | grad_norm: 2.3879 | lr: 1.4266e-05 | tok/s: 368467
step 17 | train_loss: 9.843517 | grad_norm: 2.3511 | lr: 1.5105e-05 | tok/s: 380258
step 18 | train_loss: 9.847933 | grad_norm: 2.2002 | lr: 1.5944e-05 | tok/s: 379686
step 19 | train_loss: 9.825979 | grad_norm: 2.2136 | lr: 1.6783e-05 | tok/s: 379593
step 20 | train_loss: 9.727535 | grad_norm: 2.1898 | lr: 1.7622e-05 | tok/s: 375483
step 21 | train_loss: 9.681842 | grad_norm: 2.1722 | lr: 1.8462e-05 | tok/s: 376000
step 22 | train_loss: 9.660115 | grad_norm: 2.1432 | lr: 1.9301e-05 | tok/s: 379633
step 23 | train_loss: 9.642812 | grad_norm: 2.1186 | lr: 2.0140e-05 | tok/s: 375917
step 24 | train_loss: 9.590010 | grad_norm: 2.1474 | lr: 2.0979e-05 | tok/s: 378654
step 25 | train_loss: 9.573055 | grad_norm: 2.1374 | lr: 2.1818e-05 | tok/s: 375485
step 26 | train_loss: 9.555528 | grad_norm: 2.0941 | lr: 2.2657e-05 | tok/s: 366647
step 27 | train_loss: 9.523567 | grad_norm: 2.1073 | lr: 2.3497e-05 | tok/s: 361694
